City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,cannonvale,-20.2833,148.7,25.66,64,64,7.77,AU,1712992252
132,mount gambier,-37.8333,140.7667,16.78,64,81,2.81,AU,1712992252
133,caleta de carquin,-11.0925,-77.6267,21.01,86,4,3.19,PE,1712992253
134,adrar,20.5022,-10.0711,23.43,15,0,6.83,MR,1712992112
135,pemangkat,1.1667,108.9667,28.0,74,98,2.8,ID,1712992254
136,whitehorse,60.7161,-135.0538,-4.08,88,100,2.55,CA,1712992254
137,takoradi,4.8845,-1.7554,27.68,82,100,2.99,GH,1712992117
138,calama,-22.4667,-68.9333,12.04,29,91,1.01,CL,1712992255
139,mar del plata,-38.0023,-57.5575,16.16,81,100,5.81,AR,1712992255
140,talnakh,69.4865,88.3972,-11.0,74,100,8.43,RU,1712992255
141,castillos,-34.1667,-53.8333,17.86,81,100,6.67,UY,1712992256
142,goundam,16.4145,-3.6708,24.22,15,3,7.65,ML,1712992256
143,saint-joseph,-21.3667,55.6167,29.21,77,57,1.8,RE,1712992256
144,tura,25.5198,90.2201,36.42,14,5,4.32,IN,1712992257
145,san patricio,28.017,-97.5169,22.92,75,100,4.23,US,1712992257
146,kiunga,-6.1219,141.2906,29.03,78,73,1.22,PG,1712992257
147,la'ie,21.6477,-157.9253,23.98,88,73,4.21,US,1712992257
148,coquimbo,-29.9533,-71.3436,14.84,83,97,0.82,CL,1712992258
149,orel,52.9658,36.0803,12.67,73,100,2.97,RU,1712992258
150,lebu,-37.6167,-73.65,11.61,76,0,2.53,CL,1712992258
151,arkhangel'sk,64.5401,40.5433,-0.94,69,75,2.0,RU,1712992212
152,qamdo,31.1667,97.2333,6.4,23,90,5.81,CN,1712992259
153,selfoss,63.9331,-20.9971,-3.27,65,36,4.04,IS,1712992259
154,chui,-33.6971,-53.4616,18.77,84,100,7.11,UY,1712992260
155,taroa,8.7058,171.2275,25.57,90,100,5.11,MH,1712992260
156,tshabong,-26.05,22.45,19.93,53,0,8.64,BW,1712992260
157,buala,-8.145,159.5921,28.31,78,100,1.68,SB,1712992260
